Gayrimenkul ID(62),Bölüm Adı(62),Blok No(62),Daire No(62),"Brüt m²(Σ:24,880.00)","Net M2(Σ:24,880.00)",Satış Fiyatı KDV Tutarı 01(Σ:0.00),Durumu - Detay
397,Model Sanayi Merkezi 2. Etap,F,1,450,450,0,Satıldı
398,Model Sanayi Merkezi 2. Etap,F,2,432,432,0,Satıldı
399,Model Sanayi Merkezi 2. Etap,F,10,374,374,0,Satıldı
400,Model Sanayi Merkezi 2. Etap,F,11,379,379,0,Satıldı
401,Model Sanayi Merkezi 2. Etap,F,12,374,374,0,Satıldı
402,Model Sanayi Merkezi 2. Etap,F,13,379,379,0,Satıldı
403,Model Sanayi Merkezi 2. Etap,F,14,374,374,0,Satıldı
404,Model Sanayi Merkezi 2. Etap,F,15,390,390,0,Satıldı
405,Model Sanayi Merkezi 2. Etap,F,16,385,385,0,Satıldı
406,Model Sanayi Merkezi 2. Etap,F,17,450,450,0,Satıldı
407,Model Sanayi Merkezi 2. Etap,F,18,432,432,0,Satıldı
408,Model Sanayi Merkezi 2. Etap,F,19,432,432,0,Satıldı
409,Model Sanayi Merkezi 2. Etap,F,20,432,432,0,Satıldı
410,Model Sanayi Merkezi 2. Etap,F,21,432,432,0,Satıldı
411,Model Sanayi Merkezi 2. Etap,F,22,428,428,0,Satıldı
412,Model Sanayi Merkezi 2. Etap,F,3,432,432,0,Satıldı
413,Model Sanayi Merkezi 2. Etap,F,4,432,432,0,Satılık
414,Model Sanayi Merkezi 2. Etap,F,5,432,432,0,Satıldı
415,Model Sanayi Merkezi 2. Etap,F,6,428,428,0,Satıldı
416,Model Sanayi Merkezi 2. Etap,F,7,385,385,0,Satıldı
417,Model Sanayi Merkezi 2. Etap,F,8,385,385,0,Satıldı
418,Model Sanayi Merkezi 2. Etap,F,9,379,379,0,Satıldı
419,Model Sanayi Merkezi 2. Etap,G,1,450,450,0,Satıldı
420,Model Sanayi Merkezi 2. Etap,G,10,419,419,0,Satıldı
421,Model Sanayi Merkezi 2. Etap,G,11,281,281,0,Satıldı
422,Model Sanayi Merkezi 2. Etap,G,12,419,419,0,Satıldı
423,Model Sanayi Merkezi 2. Etap,G,13,281,281,0,Satıldı
424,Model Sanayi Merkezi 2. Etap,G,14,431,431,0,Satılık
425,Model Sanayi Merkezi 2. Etap,G,15,289,289,0,Satıldı
426,Model Sanayi Merkezi 2. Etap,G,16,450,450,0,Satıldı
427,Model Sanayi Merkezi 2. Etap,G,17,432,432,0,Satıldı
428,Model Sanayi Merkezi 2. Etap,G,18,432,432,0,Satıldı
429,Model Sanayi Merkezi 2. Etap,G,19,432,432,0,Satıldı
430,Model Sanayi Merkezi 2. Etap,G,2,432,432,0,Satıldı
431,Model Sanayi Merkezi 2. Etap,G,20,450,450,0,Satıldı
432,Model Sanayi Merkezi 2. Etap,G,3,432,432,0,Satıldı
433,Model Sanayi Merkezi 2. Etap,G,4,432,432,0,Satıldı
434,Model Sanayi Merkezi 2. Etap,G,5,450,450,0,Satıldı
435,Model Sanayi Merkezi 2. Etap,G,6,431,431,0,Satılık
436,Model Sanayi Merkezi 2. Etap,G,7,289,289,0,Satıldı
437,Model Sanayi Merkezi 2. Etap,G,8,419,419,0,Satıldı
438,Model Sanayi Merkezi 2. Etap,G,9,281,281,0,Satıldı
439,Model Sanayi Merkezi 2. Etap,H,1,450,450,0,Satıldı
440,Model Sanayi Merkezi 2. Etap,H,10,419,419,0,Satıldı
441,Model Sanayi Merkezi 2. Etap,H,11,281,281,0,Satıldı
442,Model Sanayi Merkezi 2. Etap,H,12,419,419,0,Satıldı
443,Model Sanayi Merkezi 2. Etap,H,13,281,281,0,Satıldı
444,Model Sanayi Merkezi 2. Etap,H,14,431,431,0,Satıldı
445,Model Sanayi Merkezi 2. Etap,H,15,289,289,0,Satıldı
446,Model Sanayi Merkezi 2. Etap,H,16,450,450,0,Satıldı
447,Model Sanayi Merkezi 2. Etap,H,17,432,432,0,Satıldı
448,Model Sanayi Merkezi 2. Etap,H,18,432,432,0,Satılık
449,Model Sanayi Merkezi 2. Etap,H,19,432,432,0,Satıldı
450,Model Sanayi Merkezi 2. Etap,H,2,432,432,0,Satıldı
451,Model Sanayi Merkezi 2. Etap,H,20,450,450,0,Satılık
452,Model Sanayi Merkezi 2. Etap,H,3,432,432,0,Satılık
453,Model Sanayi Merkezi 2. Etap,H,4,432,432,0,Satıldı
454,Model Sanayi Merkezi 2. Etap,H,5,450,450,0,Satıldı
455,Model Sanayi Merkezi 2. Etap,H,6,431,431,0,Satıldı
456,Model Sanayi Merkezi 2. Etap,H,7,289,289,0,Satıldı
457,Model Sanayi Merkezi 2. Etap,H,8,419,419,0,Satıldı
458,Model Sanayi Merkezi 2. Etap,H,9,281,281,0,Satıldı
