Bölüm Adı(17),Blok No(17),Daire No(17),"Brüt m²(Σ:5,424.00)","Net M2(Σ:5,424.00)",Durumu - Detay
Model Sanayi Merkezi 5. Etap,A,1,298,298,Satışa Kapalı
Model Sanayi Merkezi 5. Etap,A,2,278,278,Satışa Kapalı
Model Sanayi Merkezi 5. Etap,A,3,400,400,Satışa Kapalı
Model Sanayi Merkezi 5. Etap,A,4,414,414,Satışa Kapalı
Model Sanayi Merkezi 5. Etap,A,5,414,414,Satışa Kapalı
Model Sanayi Merkezi 5. Etap,A,6,365,365,Satışa Kapalı
Model Sanayi Merkezi 5. Etap,A,7,365,365,Satılık
Model Sanayi Merkezi 5. Etap,A,8,438,438,Satılık
Model Sanayi Merkezi 5. Etap,A,9,294,294,Satılık
Model Sanayi Merkezi 5. Etap,A,10,231,231,Satılık
Model Sanayi Merkezi 5. Etap,A,11,231,231,Satılık
Model Sanayi Merkezi 5. Etap,A,12,280,280,Satılık
Model Sanayi Merkezi 5. Etap,A,13,280,280,Satılık
Model Sanayi Merkezi 5. Etap,A,14,272,272,Satılık
Model Sanayi Merkezi 5. Etap,A,15,298,298,Satılık
Model Sanayi Merkezi 5. Etap,A,16,282,282,Satılık
Model Sanayi Merkezi 5. Etap,A,17,284,284,Satılık
