SIRA NO,ETAP,BLOK,NO,FİRMA,KİRACI/MALİK,İŞ KOLU
1,1,A,1-2,MBC SAN.TİC.LTD.ŞTİ.,KİRACI,"MAKİNA 
SATIŞ- KİRALAMA-SERVİS"
2,1,A,3-4-6,ISI PROJE VE MAKİNA İMALAT VE TİCARET LTD.ŞTİ,MALİK,METAL
3,1,A,11-12,APET PETROL ÜRÜNLERİ SAN.TİC.LTDİ.ŞTİ.,MALİK,PETROL ÜRÜNLERİ
4,1,A,13-14,GNS PROFİLALİMİNYUM AŞ.,KİRACI,ALİMİNYUM PROFİL
5,1,A,15,ŞAH HEDİYELİK EŞYA GIDA E-TİCARET SAN. VE TİC.LTD.ŞTİ.,KİRACI,METAL-KALIP-SATRANÇ
6,1,A,16,ELİN DİŞ ÜRÜNLERİ TİC. LTD. ŞTİ.,MALİK,SAĞLIK ÜRÜNLERİ-DİŞ
7,1,A,17-18,MAVİ COLOUR KİMYA DIŞ TİC.LTD.ŞTİ,MALİK,TEKSTİL HAMMADDE
8,1,A,19-20,İNNO GAYRİMENKUL A.Ş (SATIŞ OFİSİ),MALİK,SATIŞ OFİSİ
9,1,A,26,SİTE MÜDÜRLÜĞÜ,KİRACI,YÖNETİM OFİS
10,1,B,1-2-4-10,METAŞ CATERİNG,KİRACI,YEMEK ÜRETİM
11,1,B,3,İLKE GRAVÜR TEKSTİL SAN. VE TİC. LTD.ŞTİ.,KİRACI,BASKI KALIP
12,1,B,5-6,SS PROJE MÜH. SAN. VE TİC. LTD.ŞTİ.,"MALİK B5
KİRACI B6",KİMYA İMALAT
13,1,B,7,ARAS PLASTİK KALIP ,KİRACI,PLASTİK BASKI
14,1,B,9,AUTOMACH OTOMASYON MAK.SAN.TİC.LTD.ŞTİ.,KİRACI,MAKİNA OTOMASYON
15,1,B,13-14,"ALER TARIM GIDA
ERDAL YÜREKSEVEN- ALİ OSMAN HASANOĞLU",KİRACI,GIDA PAKETLEME
16,1,B,15,OSMANOĞULLARI METAL İŞLEME ,KİRACI,METAL
17,1,B,16,APKON MAKİNA,KİRACI,MAKİNA İMALAT
18,1,C,1,KOÇAK PLASTİK,KİRACI,FİLE
19,1,C,2,BİROL YAĞCI,KİRACI,NALBURİYE
20,1,C,3-5,MERT TARIM (AYMET PLAZMA LAZER ÇELİK KONSTRÜKSİYON),KİRACI,METAL VE ALİMİNYUM İMALAT
21,1,C,4,REFRA TEKNİK MAKİNA İM. SAN.LTD.ŞTİ.,KİRACI,TALAŞLI İMALAT
22,1,C,6,BARI İNTERNATİONAL BI TIBBİ ÜRÜNLER LTD.ŞTİ.,KİRACI,MEDİKAL MALZEME ÜRETİMİ
23,1,C,8,BRAGON YAPI TAAHHÜT LTD.ŞTİ.,KİRACI,İNŞAAT MÜHENDİSLİK
24,1,C,12-14,TRAKYA EKMEKCİLİK  SAN.VE TİC LTD.ŞTİ.,KİRACI,EKMEK ÜRETİM
25,1,C,13,PROCUTT MAKİNE OTOMASYON SAN. VE TİC.LTD.ŞTİ.,KİRACI,CNC KESİM
26,1,C,15-16,DİLEK AHŞAP ÜRÜNLERİ VE AKSESUAR SAN.VE TİC.LTD.ŞTİ.,MALİK,ORMAN ÜRÜNLERİ
27,1,c,17,CREO ART POLYMER SOLUTİON,MALİK,MAKİNA VE PLASTİK ÜRETİM
28,1,C,18,BAHADIR TEKSTİL SAN.TİC.LTD.ŞTİ.,KİRACI,TEKSTİL 
29,1,D,1,METROPOL YEMEK,KİRACI,YEMEK ÜRETİM
30,1,D,2,SERKA REKLAM,KİRACI,REKLAM ŞİRKETİ
