"ID",Proje ID,Proje Adı(50),Gayrimenkul Son Hareket Tipi,Bölüm Adı,Blok No,Daire No,Gayrimenkul Kat,"Brüt m²(Σ:15.977,00)","Net m²(Σ:15.977,00)",Zemin Kat m²,Normal Kat m²,Satış Fiyatı 01,Satış Fiyatı 02
413,4,Model Sanayi Merkezi 2. Etap,Satılık,Model Sanayi Merkezi 2. Etap,F,4,Zemin Kat,432,432,261,171,15120000,432000
435,4,Model Sanayi Merkezi 2. Etap,Satılık,Model Sanayi Merkezi 2. Etap,G,6,Zemin Kat,431,431,283,148,15085000,431000
448,4,Model Sanayi Merkezi 2. Etap,Satılık,Model Sanayi Merkezi 2. Etap,H,18,Zemin Kat,432,432,261,171,15120000,432000
451,4,Model Sanayi Merkezi 2. Etap,Satılık,Model Sanayi Merkezi 2. Etap,H,20,Zemin Kat,450,450,272,178,15750000,450000
452,4,Model Sanayi Merkezi 2. Etap,Satılık,Model Sanayi Merkezi 2. Etap,H,3,Zemin Kat,432,432,261,171,15120000,432000
479,5,Model Sanayi Merkezi 3. Etap,Satılık,Model Sanayi Merkezi 3. Etap,L,1,Zemin Kat,518,518,259,259,18130000,518000
489,5,Model Sanayi Merkezi 3. Etap,Satılık,Model Sanayi Merkezi 3. Etap,L,2,Zemin Kat,482,482,241,241,16870000,482000
506,5,Model Sanayi Merkezi 3. Etap,Satılık,Model Sanayi Merkezi 3. Etap,M,2,Zemin Kat,344,344,196,148,12040000,344000
491,5,Model Sanayi Merkezi 3. Etap,Satılık,Model Sanayi Merkezi 3. Etap,L,3,Zemin Kat,482,482,241,241,16870000,482000
512,5,Model Sanayi Merkezi 3. Etap,Satılık,Model Sanayi Merkezi 3. Etap,M,3,Zemin Kat,334,334,190,144,11690000,334000
513,5,Model Sanayi Merkezi 3. Etap,Satılık,Model Sanayi Merkezi 3. Etap,M,4,Zemin Kat,353,353,202,151,12355000,353000
514,5,Model Sanayi Merkezi 3. Etap,Satılık,Model Sanayi Merkezi 3. Etap,M,5,Zemin Kat,337,337,189,148,11795000,337000
519,5,Model Sanayi Merkezi 3. Etap,Satılık,Model Sanayi Merkezi 3. Etap,M,6,Zemin Kat,343,343,192,149,11935000,341000
495,5,Model Sanayi Merkezi 3. Etap,Satılık,Model Sanayi Merkezi 3. Etap,L,7,Zemin Kat,277,277,163,114,9695000,277000
584,5,Model Sanayi Merkezi 3. Etap,Satılık,Model Sanayi Merkezi 3. Etap,M,7,Zemin Kat,370,370,211,159,12950000,370000
